x	qx
0	0.000415
1	0.000184
2	0.000105
3	0.000073
4	0.00006
5	0.000055
6	0.000054
7	0.000056
8	0.000059
9	0.000063
10	0.000068
11	0.000073
12	0.000079
13	0.000086
14	0.000095
15	0.000108
16	0.00013
17	0.000165
18	0.000224
19	0.000281
20	0.000331
21	0.000365
22	0.000389
23	0.0004
24	0.000398
25	0.000392
26	0.0004
27	0.000413
28	0.000434
29	0.000456
30	0.000482
31	0.000508
32	0.000538
33	0.000576
34	0.000618
35	0.000664
36	0.000704
37	0.000749
38	0.000799
39	0.000863
40	0.000941
41	0.001041
42	0.001143
43	0.001247
44	0.001346
45	0.001455
46	0.001576
47	0.001732
48	0.001909
49	0.002102
50	0.00229
51	0.002486
52	0.002669
53	0.002867
54	0.003095
55	0.003376
56	0.00369
57	0.004032
58	0.004405
59	0.004809
60	0.005263
61	0.005734
62	0.006247
63	0.006745
64	0.007283
65	0.007807
66	0.008405
67	0.009041
68	0.009793
69	0.010598
70	0.011522
71	0.012482
72	0.0136
73	0.014774
74	0.016423
75	0.018208
76	0.020308
77	0.022302
78	0.024797
79	0.027602
80	0.030939
81	0.034852
82	0.039466
83	0.044495
84	0.049723
85	0.05594
86	0.062759
87	0.069944
88	0.077022
89	0.085436
90	0.095207
91	0.105522
92	0.117616
93	0.132225
94	0.146251
95	0.162654
96	0.181008
97	0.199929
98	0.219184
99	0.240738
100	0.259646
101	0.280756
102	0.303583
103	0.328265
104	0.354954
105	0.383813
106	0.415019
107	0.448761
108	0.485247
109	0.524699
110	0.567359
111	0.613488
112	0.663366
113	0.7173
114	0.775619
115	0.83868
116	0.906867
117	0.980599
118	1
	
	
	
	
	
	
	
